city,country,lat,lon,temp,humid,cloud,windsp
pulaski,us,34.7668,-92.3001,70.79,83,40,5.99
mehamn,no,71.0357,27.8492,34.54,68,74,15.75
victoria,sc,22.2855,114.1577,77.94,61,6,1.01
chokurdakh,ru,70.6333,147.9167,-9.49,100,94,4.25
kodiak,us,57.79,-152.4072,43.63,90,97,19.71
araouane,ml,18.9048,-3.5265,80.08,24,22,9.35
ishigaki,jp,24.3448,124.1572,78.93,69,75,10.36
punta arenas,cl,-53.15,-70.9167,35.71,87,40,10.36
saint-augustin,ca,51.226,-58.6502,41.56,93,100,9.01
palmer,us,42.1584,-72.3287,40.44,88,1,0
saint-philippe,re,-21.3585,55.7679,79.21,75,40,12.93
umm lajj,sa,25.0213,37.2685,79.74,57,0,7.96
porto novo,cv,6.4965,2.6036,76.82,96,97,3.96
isangel,vu,-19.55,169.2667,78.91,78,75,5.75
vaini,to,-21.2,-175.2,71.76,83,20,8.05
yellowknife,ca,62.456,-114.3525,41.49,90,90,17.27
sobolevo,ru,54.4299,31.8996,36.55,83,100,14.27
kaitangata,nz,-46.2817,169.8464,54.07,86,74,3.44
heishan,cn,41.6892,122.1128,61.7,38,0,12.08
norman wells,ca,65.282,-126.8329,24.84,93,20,2.3
severo-kurilsk,ru,50.6789,156.125,39.76,74,84,10.71
maniitsoq,gl,65.4167,-52.9,26.28,53,87,5.86
east london,za,-33.0153,27.9116,65.34,55,40,18.41
natal,br,-5.795,-35.2094,80.82,78,75,10.36
dosso,ne,13.049,3.1937,78.82,67,100,4.79
santa vitoria do palmar,br,-33.5189,-53.3681,52.11,95,35,8.79
tuatapere,nz,-46.1333,167.6833,53.11,97,100,1.48
vallenar,cl,-28.5708,-70.7581,57.9,63,0,1.28
voh,nc,-20.9667,164.7,76.68,67,14,7.25
buraydah,sa,26.326,43.975,75.65,17,0,5.39
antalaha,mg,-14.9003,50.2788,78.85,83,79,5.01
lebu,cl,-37.6167,-73.65,48.31,92,14,3.96
codrington,ag,-38.2667,141.9667,52.86,62,92,14.36
rovaniemi,fi,66.5,25.7167,11.61,92,0,5.75
belmonte,br,-15.8631,-38.8828,75.7,95,55,3.98
sechura,pe,-5.5569,-80.8222,64.83,81,98,11.25
lodja,cd,-3.4833,23.4333,73.85,90,94,3.38
svetlaya,ru,46.5389,138.3297,55.92,49,0,4.7
sao gabriel da cachoeira,br,-0.1303,-67.0892,73.06,97,80,1.19
tayu,id,-6.5397,111.0518,89.55,58,60,7.85
udachnyy,ru,66.4167,112.4,27.37,90,100,16.11
dunedin,nz,-45.8742,170.5036,55.8,85,57,5.19
hilo,us,19.7297,-155.09,69.69,88,1,6.91
nikolskoye,ru,59.7035,30.7861,33.1,88,74,7.67
quatre cocos,mu,-20.2078,57.7625,79.09,67,75,14.16
provideniya,ru,64.3833,-173.3,21.88,80,100,8.21
skagen,dk,57.7209,10.5839,51.28,88,96,19.91
naze,jp,28.3667,129.4833,72.52,62,99,20.04
takaka,nz,-40.85,172.8,56.55,99,100,1.59
new norfolk,au,-42.7826,147.0587,50.81,53,100,1.99
haapiti,pf,-17.5667,-149.8667,74.71,87,100,16.06
jamestown,sh,42.097,-79.2353,43.27,96,90,1.01
saint george,bm,37.1041,-113.5841,59.27,45,1,1.01
iqaluit,ca,63.7506,-68.5145,29.7,86,90,11.01
mataura,pf,-46.1927,168.8643,57.92,74,98,4.07
tukrah,ly,32.5341,20.5791,75.02,42,65,16.02
cherskiy,ru,68.75,161.3,-11.45,100,76,5.01
barrow,us,71.2906,-156.7887,28.42,86,90,12.66
mandawar,in,29.5,78.1333,80.89,50,60,8.97
walvis bay,na,-22.9575,14.5053,54.55,100,3,5.75
port alfred,za,-33.5906,26.891,60.85,61,43,13.2
geraldton,au,-28.7667,114.6,79.21,53,1,16.11
laguna,br,38.421,-121.4238,57.51,85,90,1.01
tiquisio,co,8.5597,-74.2669,73.65,99,99,1.97
puerto ayora,ec,-0.7393,-90.3518,69.15,90,92,8.57
santa rosa,bo,14.3122,121.1114,82.63,77,100,9.8
tautira,pf,-17.7333,-149.15,75.22,88,100,19.42
husavik,is,66.0449,-17.3389,28.31,95,100,5.66
ponta delgada,pt,37.7333,-25.6667,65.12,77,20,11.5
bathsheba,bb,13.2167,-59.5167,81.21,74,20,20.71
goderich,sl,43.7501,-81.7165,43.02,87,56,6.91
kibungo,rw,-2.1597,30.5427,65.32,60,17,0.49
sao miguel do araguaia,br,-13.275,-50.1628,77.38,68,75,7.07
namie,jp,37.4833,141,61.39,65,52,6.31
avarua,ck,-21.2078,-159.775,71.65,64,90,3.44
okahandja,na,-21.9833,16.9167,59.31,26,0,9.31
tuktoyaktuk,ca,69.4541,-133.0374,22.84,95,59,3.8
klaksvik,fo,62.2266,-6.589,49.12,94,94,14.81
narsaq,gl,60.9167,-46.05,32.22,53,31,3.15
takoradi,gh,4.8845,-1.7554,76.28,89,91,2.33
nuevo casas grandes,mx,30.4167,-107.9167,59.45,45,41,6.6
tarimbaro,mx,19.7833,-101.1333,62.58,77,75,9.22
vao,nc,-22.6667,167.4833,71.33,75,25,14.61
saskylakh,ru,71.9167,114.0833,4.35,94,100,12.93
lakhdenpokhya,ru,61.5198,30.1992,30.81,81,19,6.67
dongsheng,cn,39.8161,109.9776,53.55,30,3,6.22
nome,us,64.5011,-165.4064,24.87,86,1,0
kavaratti,in,10.5669,72.642,81.52,75,86,4.81
krasnokamensk,ru,50.0979,118.0369,44.69,51,10,5.93
dikson,ru,73.5069,80.5464,7.57,86,100,16.84
mizan teferi,et,6.9833,35.5833,74.8,50,25,1.39
stornoway,gb,58.2093,-6.3865,53.35,94,20,21.85
nanortalik,gl,60.1432,-45.2371,34.92,65,13,21.7
payo,ph,-3.7508,103.6372,90.1,58,92,1.19
san cristobal,ec,7.7669,-72.225,65.48,97,94,1.83
qaanaaq,gl,77.484,-69.3632,-2.34,61,0,7.76
karratha,au,-20.7377,116.8463,91.65,25,3,16.24
bethel,us,41.3712,-73.414,43.68,89,1,3.44
sorong,id,-0.8833,131.25,84.36,71,100,7.78
seydi,tm,39.4816,62.9137,59.95,25,0,11.43
angoche,mz,-16.2325,39.9086,83.61,56,7,11.43
nieuw amsterdam,sr,5.8833,-55.0833,78.03,89,97,8.66
carnarvon,au,-24.8667,113.6333,78.87,65,0,16.11
biak,id,-0.9131,122.8766,84.61,62,35,4.43
atar,mr,20.5169,-13.0499,76.48,21,3,7.9
lao cai,vn,22.4833,103.95,69.12,83,97,0.51
hobart,au,-42.8794,147.3294,52.03,60,75,8.01
kharp,ru,66.8014,65.8081,26.46,85,42,15.84
hvide sande,dk,56.0045,8.1294,51.69,78,100,19.04
hanna,ca,51.6334,-111.9018,39.72,94,100,5.99
muros,es,42.7762,-9.0603,50.65,95,9,7.85
wewak,pg,-3.5534,143.6268,85.14,70,74,9.22
acapulco,mx,16.8634,-99.8901,74.08,94,100,6.91
albany,au,42.6001,-73.9662,41.27,84,60,1.01
khatanga,ru,71.9667,102.5,4.42,91,90,15.97
kabompo,zm,-13.5927,24.2008,79.99,45,68,1.45
zyryanovsk,kz,49.7386,84.2719,40.98,61,99,1.81
port elizabeth,za,-33.918,25.5701,59.29,67,0,6.91
upernavik,gl,72.7868,-56.1549,20.32,89,100,16.8
requena,pe,39.4883,-1.1004,47.5,89,7,3.36
constitucion,mx,-35.3333,-72.4167,49.75,80,1,8.79
sept-iles,ca,50.2001,-66.3821,45.12,100,90,3.44
arraial do cabo,br,-22.9661,-42.0278,70.63,93,36,27.16
kalmunai,lk,7.4167,81.8167,85.96,63,75,4.32
mar del plata,ar,-38.0023,-57.5575,45.27,82,0,1.99
morros,br,-9.4467,-46.3003,72.05,92,94,3.56
piacabucu,br,-10.4056,-36.4344,76.96,87,45,10.2
shelburne,ca,44.0787,-80.2041,35.42,92,49,5.59
auki,sb,-8.7676,160.7034,83.79,75,54,2.59
moose factory,ca,51.2585,-80.6094,31.98,100,90,0
labuhan,id,-6.8844,112.2051,89.17,59,61,11.79
gizo,sb,-8.103,156.8419,85.14,65,15,3.96
cape town,za,-33.9258,18.4232,60.39,65,0,1.99
taoudenni,ml,22.6783,-3.9836,78.26,25,0,8.37
tall kayf,iq,37.0833,41.0667,69.19,23,0,4.61
akhtubinsk,ru,48.2795,46.1722,55.42,72,100,6.64
cabo san lucas,mx,22.8909,-109.9124,76.03,78,3,1.99
aljezur,pt,37.3191,-8.8033,58.8,65,23,3.11
lasa,cn,46.6166,10.7002,35.65,43,2,0.67
hawera,nz,-39.5917,174.2833,59.45,86,100,14.45
maridi,sd,4.9158,29.4742,74.95,80,35,2.3
castro,cl,-24.7911,-50.0119,58.55,95,100,7.83
kurilsk,ru,45.2333,147.8833,50.22,78,48,22.57
hauterive,ca,46.0901,3.4459,35.28,72,0,4.5
luderitz,na,-26.6481,15.1594,62.83,53,0,10.78
saldanha,za,-33.0117,17.9442,59.38,65,0,12.71
aden,ye,12.7794,45.0367,83.95,68,11,8.3
touros,br,-5.1989,-35.4608,79.7,73,72,12.64
kholtoson,ru,50.2981,103.3097,45.97,34,1,6.64
rio grande,br,-32.035,-52.0986,55.94,92,71,14.72
san quintin,mx,30.4833,-115.95,59.43,78,6,14
guerrero negro,mx,27.9769,-114.0611,65.82,75,22,18.28
nisia floresta,br,-6.0911,-35.2086,79.61,81,27,6.73
hithadhoo,mv,-0.6,73.0833,83.14,73,79,13.62
kiunga,pg,-6.1219,141.2906,95.13,46,40,1.74
leh,in,34.1667,77.5833,35.4,69,100,4.14
manicore,br,-5.8092,-61.3003,77.31,77,78,2.93
chuy,uy,-33.6971,-53.4616,51.31,94,28,7.76
berlevag,no,70.8578,29.0864,36.43,65,77,19.08
mecca,sa,21.4267,39.8261,85.19,47,0,1.79
timizart,dz,36.8,4.2667,58.93,83,96,4.76
port lincoln,au,-34.7333,135.8667,60.51,58,7,12.17
gat,ly,31.61,34.7642,71.26,100,3,2.13
bandiagara,ml,14.3501,-3.6104,75.63,47,87,6.08
guymon,us,36.6828,-101.4816,64.35,39,1,9.22
lompoc,us,34.6391,-120.4579,53.31,88,1,0
kushmurun,kz,52.4503,64.6311,54.18,70,98,15.86
tasiilaq,gl,65.6145,-37.6368,32.16,97,100,7.85
pokhara,np,28.2333,83.9833,73.98,71,20,5.14
necochea,ar,-38.5473,-58.7368,37.04,75,0,9.04
samarai,pg,-10.6167,150.6667,81.79,80,31,10.76
faanui,pf,-16.4833,-151.75,75.56,91,91,14.9
bengkulu,id,-3.8004,102.2655,78.8,82,99,2.57
leua,ao,48.2156,18.6071,36.5,77,0,3.04
buenos aires,cr,-34.6132,-58.3772,52.75,59,0,3.44
clinton,us,42.587,-82.9199,38.44,99,1,0
khandbari,np,27.3747,87.2039,73.44,72,84,2.19
ternate,id,0.8,127.4,84.34,69,98,4.03
mahebourg,mu,-20.4081,57.7,79.09,69,75,16.11
sabzevar,ir,36.2126,57.6819,58.28,20,0,4.61
palestine,us,31.9216,35.2033,62.78,84,4,2.91
nuevitas,cu,21.5453,-77.2644,74.64,88,100,3.33
tucupita,ve,9.0622,-62.051,72.09,99,97,1.95
kungurtug,ru,50.5994,97.5228,40.19,39,64,3
predivinsk,ru,57.0669,93.4378,41.61,89,100,15.52
maputo,mz,-25.9653,32.5892,72.23,69,75,20
katsuura,jp,35.1333,140.3,64.31,54,47,5.75
saint-georges,gf,12.0564,-61.7485,80.28,74,20,18.41
adrar,dz,20.5022,-10.0711,77.76,16,64,9.06
esperance,au,-33.8667,121.9,76.89,40,29,7.09
liaocheng,cn,36.4439,115.9647,65.44,38,17,6.98
gazanjyk,tm,39.2446,55.5154,62.04,17,17,1.83
wahiawa,us,21.5028,-158.0236,73.22,73,40,5.75
nhulunbuy,au,-12.2333,136.7667,92.01,52,40,13.8
kaeo,nz,-35.1,173.7833,64.33,97,49,3.83
torbay,ca,47.6666,-52.7314,58.5,95,75,8.05
lima,pe,-12.0432,-77.0282,59.04,84,40,10.36
camacha,pt,33.0833,-16.3333,67.41,60,75,13.8
guaratinga,br,-16.5667,-39.5667,74.07,96,61,1.36
bud,no,39.447,-86.1758,50.76,92,100,4.29
eureka,us,40.8021,-124.1637,60.15,76,100,8.99
port hueneme,us,34.1478,-119.1951,57.96,86,1,5.75
najran,sa,17.4924,44.1277,75.85,23,6,5.03
nicolas bravo,mx,18.45,-88.9167,73.2,99,65,1.07
gornyy,ru,55.1153,83.9059,45.79,80,100,21.83
challapata,bo,-18.9,-66.7667,46.17,22,1,2.68
tromso,no,69.6496,18.957,30.81,86,20,8.05
san isidro,ni,-12.1167,-77.05,59.32,85,40,1.01
alexandria,eg,31.2156,29.9553,72.3,63,61,6.08
chapais,ca,49.7834,-74.8492,31.78,90,100,0.54
ruidoso,us,33.3317,-105.673,54.95,27,100,13.96
skeldon,gy,5.8833,-57.1333,75.99,95,98,5.41
ahipara,nz,-35.1667,173.1667,61.77,88,15,4.94
muborak,uz,39.2553,65.1528,60.89,23,0,3.85
roma,au,43.2128,-75.4557,36.72,94,1,0
tukums,lv,56.9669,23.1553,34.95,84,82,5.93
road town,vg,18.4167,-64.6167,80.15,66,12,13.82
yakovlevo,ru,50.8603,36.4478,37.65,63,42,9.46
kosh-agach,ru,50,88.6667,30.33,39,56,1.45
kirakira,sb,-10.4544,161.9205,84.34,77,12,10.8
arkhangelskoye,ru,55.8549,35.3287,34.29,89,100,12.75
sault sainte marie,ca,46.5168,-84.3333,40.3,87,90,4.61
butaritari,ki,3.0707,172.7902,81.23,70,34,2.82
tahe,cn,52.3333,124.7333,49.17,49,7,1.86
newport,us,51.5877,-2.9984,53.31,79,98,18.77
hasaki,jp,35.7333,140.8333,65.66,45,29,4.99
sinnamary,gf,5.3833,-52.95,78.12,88,97,9.89
longyearbyen,sj,78.2186,15.6401,15.64,79,0,5.75
riyadh,sa,24.6877,46.7219,87.94,14,0,16.62
hambantota,lk,6.1241,81.1185,86.94,63,53,19.06
burnie,au,-41.0667,145.9167,58.95,46,40,6.53
te anau,nz,-45.4167,167.7167,53.38,97,100,0.49
padang,id,-0.9492,100.3543,81.84,81,86,6.82
gamba,ga,-2.65,10,76.57,87,100,1.3
kormilovka,ru,55.0026,74.1028,49.75,73,61,13.22
portland,au,45.5234,-122.6762,51.67,94,90,1.01
markivka,ua,49.5229,39.5705,43.3,58,49,9.4
bykovo,ru,55.6361,38.0803,39.13,93,90,8.95
mount isa,au,-20.7333,139.5,85.77,42,75,19.57
juneau,us,58.3019,-134.4197,42.67,93,75,9.22
oistins,bb,13.0667,-59.5333,80.69,74,20,20.71
evensk,ru,61.95,159.2333,12.61,70,66,11.74
griffith,au,41.5284,-87.4237,38.61,93,1,0
port blair,in,11.6667,92.75,84.15,68,91,6.93
mondlo,za,-27.983,30.7177,54.32,73,100,11.45
meadow lake,ca,34.8014,-106.5436,58.24,31,86,8.95
leningradskiy,ru,69.3833,178.4167,10.09,94,100,8.59
salalah,om,17.0151,54.0924,84.29,58,0,2.3
santa lucia,es,27.9117,-15.5407,63.21,65,75,10.36
tiznit,ma,29.5833,-9.5,61.16,57,29,1.97
bongor,td,10.2806,15.3722,78.39,72,9,6.22
saint anthony,ca,45.0205,-93.218,38.05,80,1,1.99
ruteng,id,-8.6136,120.4721,73.99,73,54,0.94
mayo,ca,38.8876,-76.5119,52.56,80,90,5.99
kenai,us,60.5544,-151.2583,40.66,81,1,8.05
talnakh,ru,69.4865,88.3972,23.23,90,100,4.79
darnah,ly,32.767,22.6367,72.88,52,18,11.88
svobodnyy,ru,51.4,128.1333,50.67,48,13,4.97
noumea,nc,-22.2763,166.4572,75.18,72,13,14.38
freeport,us,40.6576,-73.5832,49.87,78,1,3.44
kamenka,ru,51.3223,42.7678,41.67,67,10,11.12
hofn,is,64.2539,-15.2082,43.61,73,100,10.56
visnes,no,59.3556,5.2242,51.89,82,75,23.02
svetlyy,ru,54.675,20.1347,35.65,70,97,5.1
alofi,nu,-19.0595,-169.9187,73.29,64,83,8.05
cap malheureux,mu,-19.9842,57.6142,79.47,66,72,14
georgetown,sh,5.4112,100.3354,86.94,74,20,1.01
lambakin,ph,14.75,120.8667,82.63,74,100,9.44
katherine,au,-14.4667,132.2667,100.72,27,40,5.75
mackay,au,-21.15,149.2,89.69,65,67,14.52
elbistan,tr,38.2059,37.1983,56.17,17,1,1.01
tete,mz,-16.1564,33.5867,93.29,29,20,0
nizhniy baskunchak,ru,48.2198,46.8311,54.3,77,100,3.18
laurel,us,39.0993,-76.8483,51.17,88,90,4.61
les cayes,ht,18.2,-73.75,76.96,83,74,2.8
cockburn town,bs,21.4612,-71.1419,82.63,71,82,18.03
grand gaube,mu,-20.0064,57.6608,79.38,66,71,14
conde,br,-7.2597,-34.9075,78.26,83,75,8.05
yaan,cn,7.3833,8.5667,72.41,86,99,2.53
kabo,cf,7.6994,18.629,73.4,87,85,1.48
paamiut,gl,61.994,-49.6678,30.38,37,92,5.44
dudinka,ru,69.4058,86.1778,22.78,92,98,10.04
port hawkesbury,ca,45.6169,-61.3485,59.45,99,90,7
ust-nera,ru,64.5667,143.2,5.94,97,93,4.85
bourail,nc,-21.5667,165.4833,74.5,70,9,10.87
morro bay,us,35.3658,-120.8499,54.93,88,100,1.01
kudahuvadhoo,mv,2.6708,72.8944,83.08,73,77,12.37
santa barbara,mx,34.7333,-120.0343,48.15,85,1,3.44
kaputa,zm,-8.4689,29.6619,81.88,47,60,3.91
caruray,ph,10.3094,119.0128,79.83,83,100,1.61
nizhniy kuranakh,ru,58.8353,125.4869,37.63,88,100,8.57
sistranda,no,63.7256,8.834,42.76,76,100,11.14
las juntas,mx,19.4167,-104.7,72.57,95,99,1.86
lorengau,pg,-2.0226,147.2712,84.36,72,99,8.84
grand-bourg,gp,15.8835,-61.3148,75.15,74,8,18.3
mattru,sl,7.6244,-11.8332,72.28,98,94,0.72
stromness,gb,58.965,-3.296,53.1,89,100,11.99
smithers,ca,54.7804,-127.1743,30.52,93,90,5.75
poum,nc,-20.2333,164.0167,75.09,74,38,9.04
naranjo,cr,10.0987,-84.3782,64.98,96,41,1.61
ketchikan,us,55.3422,-131.6461,42.67,90,99,7.45
skelleftea,se,64.7507,20.9528,18,69,90,3.44
la baule-escoublac,fr,47.2922,-2.364,46.33,90,90,4.61
airai,pw,-8.9266,125.4092,75.7,53,42,2.51
puerto escondido,mx,15.85,-97.0667,77.31,83,90,3.62
marica,br,-22.9194,-42.8186,73.35,87,25,6.38
wahpeton,us,46.2652,-96.6059,40.95,71,99,9.69
nabire,id,-3.3667,135.4833,83.01,73,93,2.3
rockhampton,au,-23.3833,150.5,91.29,31,99,11.5
araguacu,br,-12.9306,-49.8264,77.23,71,93,4.74
lagunas,pe,-5.2269,-75.6753,75.42,84,32,2.73
alta floresta,br,-9.8756,-56.0861,71.17,90,19,3.18
namibe,ao,-15.1961,12.1522,66.79,67,66,3.4
jibuti,dj,11.5,42.5,85.42,43,10,17.63
fonte boa,br,-2.4959,-66.2662,77.61,85,64,2.68
kahului,us,20.8947,-156.47,74.77,71,1,14.97
broken hill,au,-31.95,141.4333,69.26,24,0,12.06
pisco,pe,-13.7,-76.2167,59.05,88,27,12.66
kavieng,pg,-2.5744,150.7967,84.16,73,48,10.85
utinga,br,-5.8172,-35.3954,79.65,83,75,16.11
nikolayevskaya,ru,47.6139,41.5023,48.47,57,100,8.79
zhoucun,cn,36.8167,117.8167,65.75,32,39,5.64
shahr-e kord,ir,32.3256,50.8644,55.17,16,20,4.61
souillac,mu,-20.5167,57.5167,79.18,69,75,16.11
adolfo lopez mateos,mx,28.4667,-107.3,46,63,0,4.09
sao joao da barra,br,-21.6403,-41.0511,71.15,93,11,17.49
kieta,pg,-6.2167,155.6333,82.76,78,20,4.47
chicama,pe,-7.8447,-79.1469,64,83,61,4.16
irbeyskoye,ru,55.6428,95.4522,46.89,57,100,20.09
sovetskiy,ru,61.3614,63.5842,32.61,65,20,7.61
matara,lk,5.9485,80.5353,86.29,62,58,13.29
aksaray,tr,38.3726,34.0254,42.39,18,21,1.34
ambilobe,mg,-13.2,49.05,91.98,42,87,8.97
shimoda,jp,34.6667,138.95,61.93,58,89,7.36
petatlan,mx,17.5167,-101.2667,73.65,92,100,4.41
san patricio,mx,28.017,-97.5169,76.42,78,3,7.25
svetlogorsk,ru,52.6333,29.7333,39.24,72,77,10.36
sambava,mg,-14.2667,50.1667,81.72,72,71,5.77
caravelas,br,-17.7125,-39.2481,72.61,96,60,2.91
humberto de campos,br,-2.5983,-43.4611,75.63,93,92,4.97
woodstock,ca,43.1334,-80.7497,35.89,96,11,5.01
hami,cn,42.8,93.45,52.09,37,100,6.06
bonfim,br,3.0833,-59.95,78.55,74,93,6.71
faya,td,18.3851,42.4509,66.72,19,9,4.03
tefe,br,-3.3542,-64.7114,76.17,88,71,2.68
aklavik,ca,68.2191,-135.0107,27.43,96,87,4.61
florianopolis,br,-27.6146,-48.5012,63.7,93,0,3.44
saint paul,ca,44.9444,-93.0933,38.8,80,1,0
mjolby,se,58.326,15.1237,41.27,85,100,10.13
warmbad,na,-28.45,18.7333,56.07,52,0,12.37
quarai,br,-30.3875,-56.4514,52.61,94,16,6.02
tenenkou,ml,14.4572,-4.9169,85.23,48,95,4.16
mocuba,mz,-16.8392,36.9856,93.25,27,9,5.73
saint-pierre,pm,-21.3393,55.4781,79.38,74,20,6.91
greymouth,nz,-42.4667,171.2,55.51,89,100,5.14
russell,nz,32.3502,-85.1999,51.01,87,1,0
flin flon,ca,54.7682,-101.865,38.48,65,99,11.43
beringovskiy,ru,63.05,179.3167,10.45,78,3,7.83
grand-santi,gf,4.25,-54.3833,72.72,100,99,2.26
olinda,br,-8.0089,-34.8553,80.33,74,20,8.05
jardim,br,-21.4803,-56.1381,69.51,98,99,3.11
vizinga,ru,61.0749,50.1031,33.76,98,100,5.73
hamilton,bm,39.1834,-84.5333,53.55,94,90,0
gornopravdinsk,ru,60.05,69.9,40.41,79,76,12.86
lagoa,pt,39.05,-27.9833,66.63,63,77,13.82
quezailica,hn,14.8833,-88.7333,69.84,97,98,2.13
comodoro rivadavia,ar,-45.8667,-67.5,51.66,37,0,31.07
okhotsk,ru,59.3833,143.3,22.77,68,10,12.3
mariano comense,it,45.6921,9.1797,51.98,88,90,1.3
nuuk,gl,64.1835,-51.7216,27.21,46,75,20.71
corinto,ni,37.9407,22.9573,65.1,73,58,2.3
olafsvik,is,64.8945,-23.7142,44.58,83,100,13.06
nikel,ru,69.4128,30.222,23.18,91,49,7.85
yerbogachen,ru,61.2767,108.0108,32.63,94,99,12.03
zharkent,kz,44.1628,80,51.21,28,0,5.99
bibiani,gh,6.4635,-2.3194,70.32,100,100,1.21
santiago de cao,pe,-7.9589,-79.2392,61.97,90,39,10.69
chapada dos guimaraes,br,-15.4606,-55.7497,78.46,67,69,7.47
samagaltay,ru,50.6022,95.0047,40.48,39,95,4.18
thinadhoo,mv,0.5333,72.9333,83.32,71,38,13.06
chaoyang,cn,41.5703,120.4586,62.31,28,0,6.53
nauta,pe,-4.5061,-73.5757,73.94,94,34,2.51
arman,ru,59.7,150.1667,23.31,64,65,7.72
sidi ali,dz,36.0998,0.4206,59.25,81,0,6.35
kuching,my,1.55,110.3333,91.62,62,40,4.61
amiens,fr,49.9,2.3,39.06,92,17,7.65
vila velha,br,-20.3297,-40.2925,73.35,88,0,5.75
tucuma,br,-0.1833,-50.05,78.01,87,98,5.86
hendrina,za,-26.1588,29.7153,49.23,76,50,16.06
astana,kz,51.1801,71.446,53.55,50,75,20.13
iracoubo,gf,5.4802,-53.2011,78.76,86,98,10.31
tessalit,ml,20.1986,1.0114,79.14,25,31,8.46
pontes e lacerda,br,-15.2261,-59.3353,78.12,67,37,3.02
anjangaon,in,21.1631,77.3094,81.21,51,1,2.53
mackenzie,ca,55.2999,-123.1698,37.62,93,40,3.44
malatya,tr,38.5,38,50.05,28,0,2.3
yunyang,cn,33.4474,112.7142,70.79,38,24,4.63
sitka,us,57.0531,-135.33,42.69,81,90,8.05
yakeshi,cn,49.2833,120.7333,45.79,47,1,9.64
pravia,es,43.4906,-6.1508,48.09,81,0,6.91
wawa,ca,9.9022,4.4192,74.55,85,95,2.64
dergachi,ru,51.2328,48.7659,50.65,59,100,13.38
makokou,ga,0.5738,12.8642,68.97,99,100,2.19
clyde river,ca,70.4692,-68.5914,17.02,83,90,11.32
homer,us,59.6425,-151.5483,42.76,83,20,4.61
bulawayo,zw,-20.15,28.5833,84.16,11,60,4.38
bowen,au,-20.0167,148.2333,80.35,65,80,10
shakawe,bw,-18.3667,21.85,84.38,33,74,5.35
cidreira,br,-30.1811,-50.2056,63.01,86,100,15.26
bondo,cd,3.8146,23.6866,73.35,92,43,1.7
mariinsk,ru,56.2139,87.7472,44.15,78,100,21.56
moroni,km,-11.7022,43.2551,87.8,58,20,17.27
lokoja,ng,7.8024,6.743,74.3,92,97,1.59
vanavara,ru,60.34,102.2797,34.18,96,100,12.93
bastia,fr,42.6667,9.3333,61.05,79,75,1.99
camana,pe,-16.6228,-72.7111,61.3,83,45,8.77
mwense,zm,-10.3845,28.698,87.51,36,71,0.6
leshukonskoye,ru,64.8989,45.7622,27.59,93,100,3.94
itarema,br,-2.9248,-39.9167,79.03,79,82,10.83
antofagasta,cl,-23.65,-70.4,56.48,78,26,8.41
kloulklubed,pw,7.0419,134.2556,86.5,70,18,6.15
rawson,ar,-43.3002,-65.1023,52.3,38,3,16.33
garoua,cm,9.3,13.4,75.6,100,0,3.44
